,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-S3108L-H8IR-16DD,8,78,-,-
CBL-PWCD-0578-1,16,21571,-,-
CBL-SAST-0593,16,13830,-,-
EWCSC,8,0,-,-
HDS-I2T0-SSDSC2KB038T8,32,205,1250,10/30/2020(0/1000); 11/02/2020(0/250)
HDS-I2T0-SSDSC2KB960G8,16,874,500,11/16/2020(400/900)
MC0037,8,0,-,-
MEM-DR432L-CL01-ER29,192,16470,-,-
OS4HR3,8,0,-,-
OSDMR3,8,0,-,-
P4X-CLX6230R-SRGZA,16,1283,1996,12/31/2020(300/600); None; None; None; None; None
SFT-DCMS-SINGLE,8,0,-,-
SFT-DCMS-SVC-KEY,8,0,-,-
SMMSG3,8,0,-,-
SYS-1029U-TRT,8,3,-,-
