,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-MCX555A-ECAT,60,326,-,-
AOC-S3108L-H8IR-16DD,30,46,-,-
CBL-0080L,60,1950,300,-
CBL-PWCD-0578-1,60,23012,-,-
CBL-PWEX-0650,30,6957,-,-
CBL-SAST-0654,30,2956,-,-
EWCSC,30,0,-,-
HDS-I2T0-SSDSC2KB076T8,60,0,519,10/30/2020(100/590); 10/30/2020(0/14); 10/30/2020(0/15)
HDS-I2T0-SSDSC2KB960G8,60,716,-,-
MC0037,30,0,-,-
MCP-120-82916-0N,30,0,-,-
MCP-240-82922-0N-OEM,30,611,200,11/19/2020(0/200)
MEM-DR432L-CL01-ER29,720,8400,15000,None; None
OS4HR3,30,0,-,-
OSDMR3,30,0,-,-
P4X-CLX5218R-SRGZ7,60,1377,930,12/31/2020(0/480); 12/31/2020(0/450)
RSC-W2-66,30,3424,-,-
SFT-DCMS-SINGLE,30,0,-,-
SFT-DCMS-SVC-KEY,30,0,-,-
SMMSG3,30,0,-,-
SYS-2029U-E1CRTP,30,2,-,-
